Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,XS,,,,,XSBEAUT,170,shopify,1,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,S,,,,,SBEAUT,198,shopify,1,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,M,,,,,MBEAUT,198,shopify,0,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,L,,,,,LBEAUT,227,shopify,0,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,XL,,,,,XLBEAUT,241,shopify,0,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,1X,,,,,1XBEAUT,255,shopify,0,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,2X,,,,,2XBEAUT,283,shopify,0,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,3X,,,,,3XBEAUT,283,shopify,0,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,4X,,,,,4XBEAUT,312,shopify,0,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
the-bees-knees,The Bee's Knees,"<p> </p>
<h1 data-mce-fragment=""1"">The Bee's Knees: a limited edition</h1>
<h3 data-mce-fragment=""1"">This Art Nouveau print was only printed during 2022. Once the current stock is gone, it's gone forever! (Only XS and S left since we overprinted them.)</h3>
<p><strong>FINAL SALE</strong> item: no returns or exchanges. </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made from premium Italian fabric with Econyl<span data-mce-fragment=""1"">®</span> regenerated nylon</li>
<li data-mce-fragment=""1"">Ethically manufactured in Portland, Oregon, USA</li>
<li data-mce-fragment=""1"">Made in small batches for zero waste</li>
<li data-mce-fragment=""1"">Fully lined front for great coverage</li>
<li data-mce-fragment=""1"">Ultra chlorine-resistant</li>
<li data-mce-fragment=""1"">UPF 50+ UV protection</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Note:</strong><span data-mce-fragment=""1""> </span>Our unisex sizing is unique: please check our <a href=""https://www.beefcakeswimwear.com/pages/sizing"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.beefcakeswimwear.com/pages/sizing"">size chart</a>!</p>",Beefcake Swimwear,Swimwear,,TRUE,Size,5X,,,,,5XBEAUT,312,shopify,0,deny,manual,75.00,99.00,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,
